,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,mean
1997,26.2295081967213,12.6666666666667,10.8333333333333,7.8740157480315,5.35714285714286,15.0,32.9608938547486,10.8910891089109,33.5,10.9185441941075,26.1904761904762,6.33333333333333,11.3989637305699,12.0481927710843,11.1111111111111,9.0,17.5182481751825,20.0,5.79710144927536,31.3333333333333,13.0434782608696,13.0434782608696,7.28862973760933,14.6666666666667,7.77777777777778,24.7126436781609,40.4011461318052,16.218362021029183
1998,26.2295081967213,12.6666666666667,10.8333333333333,7.8740157480315,5.35714285714286,15.0,37.4301675977654,10.8910891089109,33.5,10.9185441941075,26.1904761904762,6.33333333333333,8.29015544041451,12.0481927710843,11.1111111111111,9.0,17.5182481751825,20.0,5.79710144927536,36.0,13.0434782608696,13.0434782608696,7.28862973760933,14.6666666666667,7.77777777777778,24.7126436781609,40.4011461318052,16.441589136567256
1999,23.3333333333333,23.3333333333333,10.8333333333333,7.8740157480315,5.35714285714286,15.0,37.4301675977654,17.8217821782178,37.0,10.9185441941075,30.9417040358744,6.33333333333333,8.29015544041451,12.0481927710843,11.1111111111111,17.0,17.5182481751825,16.6666666666667,9.23076923076923,36.0,13.0434782608696,18.695652173913,7.28862973760933,12.6666666666667,7.77777777777778,21.551724137931,42.6934097421203,17.69478414209588
2000,26.775956284153,23.3333333333333,10.8333333333333,20.5298013245033,7.14285714285714,15.0,37.4301675977654,17.8217821782178,36.5,10.9185441941075,30.9417040358744,8.66666666666667,8.29015544041451,12.0481927710843,11.1111111111111,17.0,10.6382978723404,16.6666666666667,9.23076923076923,36.0,13.0434782608696,17.3913043478261,14.0,14.0,28.2857142857143,28.2857142857143,42.6934097421203,19.42885037427565
2001,26.775956284153,23.3333333333333,26.25,20.5298013245033,10.7142857142857,15.0,17.8217821782178,17.8217821782178,36.5,10.9185441941075,31.0810810810811,8.66666666666667,8.29015544041451,12.0481927710843,9.84126984126984,17.0,10.6382978723404,16.6666666666667,9.23076923076923,36.0,20.2173913043478,18.695652173913,10.7246376811594,14.0,12.2222222222222,28.2857142857143,42.6934097421203,18.961763414318078
2002,23.3333333333333,23.3333333333333,26.25,20.5298013245033,10.7142857142857,17.0,37.9888268156425,17.8217821782178,36.5,12.1317157712305,32.1724709784411,8.66666666666667,9.06735751295337,13.2530120481928,9.84126984126984,18.0,10.6382978723404,16.6666666666667,9.23076923076923,34.0,20.2173913043478,19.1304347826087,10.7246376811594,17.3333333333333,12.2222222222222,28.2857142857143,44.9856733524355,20.001444305543245
2003,33.879781420765,35.3333333333333,26.25,10.7142857142857,10.7142857142857,17.0,37.9888268156425,18.8118811881188,37.5,12.1951219512195,32.1724709784411,8.66666666666667,9.84455958549223,13.2530120481928,11.4886731391586,21.0,10.6382978723404,16.6666666666667,7.69230769230769,36.6666666666667,20.2173913043478,19.1304347826087,10.7246376811594,19.3333333333333,12.2222222222222,28.2857142857143,45.2722063037249,20.876399161729406
2004,33.879781420765,34.6666666666667,26.25,21.7105263157895,16.0714285714286,17.0,37.9888268156425,18.8118811881188,37.5,12.1951219512195,32.75,14.0,9.09090909090909,13.2530120481928,11.525974025974,21.0,21.9858156028369,23.3333333333333,9.23076923076923,36.6666666666667,20.2173913043478,19.1304347826087,11.4457831325301,16.6666666666667,12.2222222222222,36.0,45.2722063037249,22.587608049644924
2005,33.879781420765,34.6666666666667,22.0833333333333,21.7105263157895,16.0714285714286,17.0,36.8715083798883,18.8118811881188,37.5,12.1951219512195,31.7589576547231,13.0,9.09090909090909,13.2530120481928,11.525974025974,21.0,21.9858156028369,23.3333333333333,9.23076923076923,36.6666666666667,20.4347826086957,21.304347826087,11.178247734139,16.6666666666667,12.2222222222222,36.0,45.2722063037249,22.396820697857418
2006,32.2404371584699,34.6666666666667,22.0833333333333,21.7105263157895,14.2857142857143,15.5,36.8715083798883,18.8118811881188,38.0,12.1951219512195,31.5960912052117,13.0,10.3626943005181,13.2530120481928,17.3015873015873,19.0,24.822695035461,23.3333333333333,9.23076923076923,36.6666666666667,20.4347826086957,21.304347826087,11.178247734139,20.0,12.2222222222222,36.0,47.2779369627507,22.716650953882777
