Country,Life expectancy at birth,Life expectancy at birth_1,Life expectancy at birth_2
,Both,Male,Female
Fiji,68.0,65.9,70.3
Finland,81.6,79.2,84.0
France,82.5,79.8,85.1
Gabon,66.5,63.6,69.7
Gambia,65.5,63.4,67.7
Georgia,73.3,68.8,77.8
Germany,81.7,78.7,84.8
Ghana,66.3,63.7,69.2
Greece,81.1,78.6,83.6
Grenada,72.9,70.6,75.3
Guatemala,72.0,69.0,75.0
Guinea,61.0,59.5,62.3
Guinea-Bissau,60.2,57.4,63.0
Guyana,65.7,62.5,69.4
Haiti,64.1,63.3,64.8
Honduras,71.9,70.7,73.2
Hungary,76.4,73.1,79.6
Iceland,82.3,80.8,83.9
India,70.8,69.5,72.2
Indonesia,71.3,69.4,73.3
Iran,77.3,75.7,79.1
Iraq,72.4,69.9,75.0
Ireland,81.8,80.2,83.5
Israel,82.6,80.8,84.4
Italy,83.0,80.9,84.9
Jamaica,76.0,74.4,77.7
Japan,84.3,81.5,86.9
Jordan,77.9,77.0,78.8
Kazakhstan,74.0,70.0,77.6
Kenya,66.1,63.7,68.4
Kiribati,59.4,56.1,62.8
Kuwait,81.0,79.3,83.9
Kyrgyzstan,74.2,70.7,77.3
Laos,68.5,66.2,70.9
Latvia,75.4,70.6,79.8
Lebanon,76.4,74.0,79.2
Lesotho,50.7,47.7,54.2
Liberia,64.1,63.2,65.0
Libya,75.8,74.2,77.3
Lithuania,76.0,71.2,80.4
Luxembourg,82.4,80.6,84.2
Madagascar,65.3,64.1,66.6
Malawi,65.6,62.3,68.9
Malaysia,74.7,72.6,77.1
Maldives,79.6,78.6,80.8
Mali,62.8,62.2,63.4
Malta,81.9,79.9,83.8
Mauritania,68.4,68.1,68.7
Mauritius,74.1,71.0,77.3
Mexico,76.0,73.1,78.9
Moldova,73.3,69.3,77.1
Mongolia,68.1,63.8,72.8
Montenegro,75.9,73.2,78.7
Morocco,73.0,71.7,74.3
Mozambique,58.1,54.5,61.7
Myanmar,69.1,65.9,72.2
Namibia,64.6,60.6,68.4
Nepal,70.9,68.9,72.7
Netherlands,81.8,80.4,83.1
New Zealand,82.0,80.4,83.5
Nicaragua,75.0,72.1,77.9
Niger,63.3,62.1,64.6
Nigeria,62.6,61.2,64.1
North Korea,72.6,69.3,75.7
North Macedonia,74.8,72.8,76.9
